dataset,model,MASE,WQL
dominick,amazon/chronos-t5-small,0.8102180114476228,0.33651218185188214
ercot,amazon/chronos-t5-small,0.5914140258943413,0.016289723749116476
exchange_rate,amazon/chronos-t5-small,2.183971398112887,0.01456258528657896
m4_quarterly,amazon/chronos-t5-small,1.2371103300104644,0.08372379840398575
m4_yearly,amazon/chronos-t5-small,3.7396261920796445,0.13867977504209061
m5,amazon/chronos-t5-small,0.9366822709285836,0.5895274669056857
monash_australian_electricity,amazon/chronos-t5-small,1.2266563941898292,0.07050882558771282
monash_car_parts,amazon/chronos-t5-small,0.8870686179084835,1.0272958947217927
monash_cif_2016,amazon/chronos-t5-small,1.0067118724551458,0.013682373365559808
monash_covid_deaths,amazon/chronos-t5-small,41.94965801388797,0.06236772016708861
monash_fred_md,amazon/chronos-t5-small,0.4827640874005197,0.017761980077432904
monash_hospital,amazon/chronos-t5-small,0.8136781310165772,0.05719124070595662
monash_m1_monthly,amazon/chronos-t5-small,1.1614460555927628,0.13668980300569772
monash_m1_quarterly,amazon/chronos-t5-small,1.8103635712105342,0.11379925806116502
monash_m1_yearly,amazon/chronos-t5-small,4.736977415392246,0.16973611050692716
monash_m3_monthly,amazon/chronos-t5-small,0.8851599698348667,0.09977785861495082
monash_m3_quarterly,amazon/chronos-t5-small,1.278282734974299,0.08050755468974163
monash_m3_yearly,amazon/chronos-t5-small,3.362087181840215,0.1580683784882793
monash_nn5_weekly,amazon/chronos-t5-small,0.95994426501834,0.09194116586797028
monash_tourism_monthly,amazon/chronos-t5-small,1.91888550203627,0.11112549093322278
monash_tourism_quarterly,amazon/chronos-t5-small,1.756001218438666,0.06809195316374449
monash_tourism_yearly,amazon/chronos-t5-small,3.9875964666636374,0.2041893553699028
monash_traffic,amazon/chronos-t5-small,0.8185913983068134,0.2569316734410025
monash_weather,amazon/chronos-t5-small,0.8534713369187312,0.14808936617803375
nn5,amazon/chronos-t5-small,0.6137082466640899,0.16773736626684532
ETTh,amazon/chronos-t5-small,0.7917587610801337,0.07808692446213124
ETTm,amazon/chronos-t5-small,0.7125775851677394,0.062183739895865814
