dataset,model,MASE,WQL
dominick,amazon/chronos-t5-mini,0.8192276719947218,0.33971069480569765
ercot,amazon/chronos-t5-mini,0.6615198108479077,0.016501425037043046
exchange_rate,amazon/chronos-t5-mini,1.9714247411804684,0.012000087724658617
m4_quarterly,amazon/chronos-t5-mini,1.2706479369843404,0.08562480683163634
m4_yearly,amazon/chronos-t5-mini,3.727680477597385,0.13927303785644485
m5,amazon/chronos-t5-mini,0.9424890182596445,0.5961719061699943
monash_australian_electricity,amazon/chronos-t5-mini,1.03618695695247,0.0498196262247291
monash_car_parts,amazon/chronos-t5-mini,0.8935775429945967,1.0181108971911346
monash_cif_2016,amazon/chronos-t5-mini,1.0375651473155585,0.017902647906916272
monash_covid_deaths,amazon/chronos-t5-mini,43.917622062642806,0.08934815925635105
monash_fred_md,amazon/chronos-t5-mini,0.48559905775972023,0.020665526197892737
monash_hospital,amazon/chronos-t5-mini,0.8096631352415399,0.05727296094668209
monash_m1_monthly,amazon/chronos-t5-mini,1.1765336826141706,0.14225546922054882
monash_m1_quarterly,amazon/chronos-t5-mini,1.7754930708595447,0.095869981151051
monash_m1_yearly,amazon/chronos-t5-mini,5.055824420652763,0.18063636975728883
monash_m3_monthly,amazon/chronos-t5-mini,0.9010234867738426,0.09924547023075404
monash_m3_quarterly,amazon/chronos-t5-mini,1.2634727567717998,0.07903783168667054
monash_m3_yearly,amazon/chronos-t5-mini,3.438984745739942,0.16179116028866006
monash_nn5_weekly,amazon/chronos-t5-mini,0.9535155692223601,0.09122281555160068
monash_tourism_monthly,amazon/chronos-t5-mini,1.9255874749523192,0.10870347964138534
monash_tourism_quarterly,amazon/chronos-t5-mini,1.7918900461207088,0.07286340658626872
monash_tourism_yearly,amazon/chronos-t5-mini,4.152845637188146,0.21237997875820044
monash_traffic,amazon/chronos-t5-mini,0.8538556440522584,0.26671208619936093
monash_weather,amazon/chronos-t5-mini,0.8579520730671527,0.15019354182510872
nn5,amazon/chronos-t5-mini,0.6517807927864956,0.17373018481892735
ETTh,amazon/chronos-t5-mini,0.7819052513302707,0.07999153480771906
ETTm,amazon/chronos-t5-mini,0.7719881432071873,0.06816381359740808
